,body
332,Clear sound.Beautiful replies from AlexaAstonishing microphoneBeautiful ring ligth notificationsControlling smart home immediatelyLove it
333,Overall a decent buy...but for full benefits u hv to purchase voice recognised device like fire stick...smart plugs smart lights etc... i got ome echo dot 3rd gen n one wipro smart bulb in 2299 ...n happy wid d product ...
334,"Part of a Digital Family, My Home Defaults Speakers connected with Bluetooth and Mobile Devices.Must Buy, Drop-In Feature of Alexa Works like a Intercom.Audible, Spotify and Mobiles"
335,"At 50% volume sould quality is good , beyond that it’s sounds horribleBiggest drawback, alexa doesn’t respond on full volume at 4 ft distanceAlexa application hangs up very often and  stops the responseBluetooth connectivity, lagging most of the time"
336,"I have been using from a year almost... Just amazing for all your day to activities, controlling bedroom (lights, AC, Fan) to many other appliances. Connect to Laptop, Mobile, and enjoy.This is my second purchase."
337,"Alexa hardware is good, Alexa heard from far away , sound quality is good, light effects are good. But search or informational datase is limited when comes to questions or local regional places."
338,Horrible integration with apps. It cannot play songs requested. Thought some of the songs are available in gaana it's always integrating with Amazon music where there are not many songs.
339,"The media could not be loaded.
                



 Completely original no problem. Even if you find any problem in the beginning then you can replace it"
340,Alexa is good. It understands the query well now. For conversation mode you need to train Alexa.You can change call sign of Alexa but there are only 4 options available. Bought in 2019 for Rs 1650/-. Now going to buy another on 26/07/2021 for Rs2249/-.
341,Don't buy this product. Totally waste of money. It has many glitches. It stopped working within 10 days. Called to Amazon for replacement but they denied to replace.Every time i called they gave different opinions. They are not on same page.
342,"Super purchase at affordable price of Rs . 1999 bundled with free wipro smart light.Fast response,  crystal clarity sound, innovative control of 3rd party smart appliances & beautifully designed.Very much reccomended.Very easy to control music."
343,"She sings at your command...rather plays songs!! Plays quizzes with you....plays radio stations, wakes you u with music and much much more . What I dislike about her is her very annoying female Indian accent voice. I wish I could set it to British or USA English."
